1	Coatepec Centro	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
2	La Purísima	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
3	La Luz	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
4	Anfer	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
5	Carlos Roberto Smith	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
6	Popular	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
7	Del Bosque	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
8	Azuzul	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
9	El Porvenir	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
10	Pomarosa	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
11	Sinesco	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
12	Sayago Cristóbal	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
13	Ignacio Allende	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
14	Zona Dorada	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
15	La Florida	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
16	Mariano Escobedo	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
17	Plan de la Cruz	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
18	La Pitaya	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
19	San Pedro Buenavista	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
20	Arboledas San Pedro	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
21	Campestre la Orduña	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
22	Francisco Villa	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
23	Las Jacarandas	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
24	Del Carmen	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
25	Rincón Coatepec	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
26	La Gachupina	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
27	Los Pinos	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
28	Roberto Amoros	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
29	Nestle	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
30	Encino	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
31	Libertad	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
32	El Mirador	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
33	Las Golondrinas	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
34	La Herradura	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
35	Araucarias	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
36	El Obrador	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
37	Centenario	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
38	Díaz Mirón	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
39	Loma de los Angeles	Fraccionamiento	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
40	San Jerónimo	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
41	Agrícola	Colonia	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
42	Setse	Unidad habitacional	Coatepec	Veracruz de Ignacio de la Llave	Coatepec	91501	30	38	Urbano
